path,country,id,year_enacted,year_updated,title,region,word_length
global_risk_data\constitutions_text\Tonga_2013.html,Kingdom of Tonga,Tonga_2013,1875,2013.0,Tonga 1875 (rev. 2013),Oceania,12328.0
global_risk_data\constitutions_text\Trinidad_and_Tobago_2007.html,Republic of Trinidad and Tobago,Trinidad_and_Tobago_2007,1976,2007.0,Trinidad and Tobago 1976 (rev. 2007),Americas,32322.0
global_risk_data\constitutions_text\Tunisia_2014.html,Republic of Tunisia,Tunisia_2014,2014,,Tunisia 2014,Africa,12492.0
global_risk_data\constitutions_text\Turkey_2017.html,Republic of Turkey,Turkey_2017,1982,2017.0,Turkey 1982 (rev. 2017),Asia,31608.0
global_risk_data\constitutions_text\Turkmenistan_2016.html,Turkmenistan,Turkmenistan_2016,2008,2016.0,Turkmenistan 2008 (rev. 2016),Asia,7408.0
global_risk_data\constitutions_text\Tuvalu_2010.html,Tuvalu,Tuvalu_2010,1986,2010.0,Tuvalu 1986 (rev. 2010),Oceania,34830.0
global_risk_data\constitutions_text\Uganda_2017.html,Republic of Uganda,Uganda_2017,1995,2017.0,Uganda 1995 (rev. 2017),Africa,51602.0
global_risk_data\constitutions_text\Ukraine_2019.html,Ukraine,Ukraine_2019,1996,2019.0,Ukraine 1996 (rev. 2019),Europe,21538.0
global_risk_data\constitutions_text\United_Arab_Emirates_2009.html,United Arab Emirates,United_Arab_Emirates_2009,1971,2009.0,United Arab Emirates 1971 (rev. 2009),Asia,10347.0
global_risk_data\constitutions_text\United_Kingdom_2013.html,United Kingdom of Great Britain and Northern Ireland,United_Kingdom_2013,1215,2013.0,United Kingdom 1215 (rev. 2013),Europe,236761.0
global_risk_data\constitutions_text\United_States_of_America_1992.html,United States of America,United_States_of_America_1992,1789,1992.0,United States of America 1789 (rev. 1992),Americas,7807.0
global_risk_data\constitutions_text\Uruguay_2004.html,Eastern Republic of Uruguay,Uruguay_2004,1966,2004.0,"Uruguay 1966 (reinst. 1985, rev. 2004)",Americas,30190.0
global_risk_data\constitutions_text\Uzbekistan_2011.html,Republic of Uzbekistan,Uzbekistan_2011,1992,2011.0,Uzbekistan 1992 (rev. 2011),Asia,10694.0
global_risk_data\constitutions_text\Vanuatu_2013.html,Republic of Vanuatu,Vanuatu_2013,1980,2013.0,Vanuatu 1980 (rev. 2013),Oceania,9464.0
global_risk_data\constitutions_text\Venezuela_2009.html,Bolivarian Republic of Venezuela,Venezuela_2009,1999,2009.0,Venezuela (Bolivarian Republic of) 1999 (rev. 2009),Americas,36527.0
global_risk_data\constitutions_text\Yemen_2015.html,Republic of Yemen,Yemen_2015,1991,2015.0,Yemen 1991 (rev. 2015),Asia,11913.0
global_risk_data\constitutions_text\Zambia_2016.html,Republic of Zambia,Zambia_2016,1991,2016.0,Zambia 1991 (rev. 2016),Africa,38867.0
global_risk_data\constitutions_text\Zimbabwe_2017.html,Republic of Zimbabwe,Zimbabwe_2017,2013,2017.0,Zimbabwe 2013 (rev. 2017),Africa,55720.0
