economy,series,Country,Series,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024
SDN,NY.GDP.MKTP.CD,Sudan,GDP (current US$),33641222222.2222,44171194366.2039,7031933491.84899,8881005435.80602,12793794737.042,13830363899.9163,9018300724.66086,11681175864.3383,11250221536.7484,10682028339.6898,12257299147.2936,15716361792.1926,18137128388.3606,21355298459.5955,26646007250.7319,35182711987.974,45263831634.1497,59440139774.8128,64833083257.1431,51621044076.9231,58962978034.4828,55018567210.5263,37632919966.6667,43024018082.1918,49516748617.9775,51726758676.7677,42630376000.0,41283617976.1905,32333780383.2924,32338079165.2893,27034593750.0,34229513774.9936,51666875363.0963,39898289820.7951,49672435513.1126
VCT,NY.GDP.MKTP.CD,St. Vincent and the Grenadines,GDP (current US$),240366666.666667,254829629.62963,277955555.555556,286307407.407407,289437037.037037,316007407.407407,331488888.888889,347770370.37037,373618518.518519,390718518.518519,427946037.037037,462072333.333333,487763851.851852,509090888.888889,549900185.185185,579948925.925926,643501148.148148,713596666.666667,732663259.259259,714300259.259259,720447888.888889,713796370.37037,730032592.592593,764781259.259259,770900000.0,786555555.555555,814303703.703704,844040740.740741,884329629.62963,910481481.481481,864566666.666667,888677777.777778,989188888.888889,1072237037.03704,1157207407.40741
MAF,NY.GDP.MKTP.CD,St. Martin (French part),GDP (current US$),,,,,,,,,,,,,,,,,,,,,,775875748.523832,,,772921958.529509,,,,,652206037.103874,,649206262.847519,,,
LCA,NY.GDP.MKTP.CD,St. Lucia,GDP (current US$),579629629.62963,613703703.703704,674074074.074074,684814814.814815,713703703.703704,762962962.962963,788888888.888889,805925925.925926,877407407.407407,921851851.851852,932592592.592592,892592592.592592,900000000.0,987407407.407407,1066666666.66667,1135555555.55556,1268319185.18519,1336088814.81481,1437731111.11111,1401507888.88889,1482385185.18519,1568370370.37037,1598207407.40741,1660392592.59259,1749185185.18518,1807640740.74074,1868544444.44444,1998503703.7037,2060955555.55556,2095344444.44444,1499274074.07407,1867185185.18518,2342714814.81481,2430166666.66667,2549062962.96296
KNA,NY.GDP.MKTP.CD,St. Kitts and Nevis,GDP (current US$),217259259.259259,220540740.740741,242137037.037037,263755555.555556,295159259.259259,313485185.185185,333944444.444444,374641307.974641,383257331.40548,406595484.373262,421695769.843918,458643829.014199,481077373.669966,469869869.86987,506900000.0,547203703.703704,644414814.814815,689285185.185185,777692592.592593,774274074.074074,778718518.518518,836092592.592593,824585185.185185,874548148.148148,952111111.111111,957222222.222222,1006818518.51852,1056977777.77778,1076548148.14815,1107855555.55556,883922222.222222,858622222.222222,981429629.62963,1055651851.85185,1122388888.88889
LKA,NY.GDP.MKTP.CD,Sri Lanka,GDP (current US$),8032551173.24014,9000362581.58086,9703011635.86585,10338679635.7616,11717604208.8223,13029697560.9756,13897738375.2488,15091913883.7091,15760736956.1852,15711933513.2831,16595882818.6857,15749753804.8344,16536535647.0834,18881765437.2151,20662525941.2985,24405791044.7761,28267410542.5164,32350238760.4239,40713826215.0093,42066224093.0065,58636049434.1871,67753285896.6254,70447217163.7784,76976203829.4765,82531125190.5224,85090301052.0465,88000211171.5956,94369350285.5814,94450015982.8405,88998706296.5783,84335574581.5072,88556698937.7033,74143020262.8076,83716142582.1945,98963185509.6499
ESP,NY.GDP.MKTP.CD,Spain,GDP (current US$),536175326477.31,576753902321.857,630465353486.104,524700572623.872,530183651720.283,614170002668.802,642251412058.321,589739772727.273,618731484575.12,634394904386.874,598102854756.08,627798682378.741,708938227243.923,907963217057.645,1069829382514.67,1154667551775.88,1261846683275.29,1476746276854.51,1636115447612.5,1496587590847.66,1427989078916.67,1487568659241.25,1330994811670.31,1362186923157.65,1380244561361.96,1206164777553.12,1243015667917.12,1321754088818.83,1431642809327.06,1403496387686.27,1289783836971.21,1461244901852.69,1448850658406.62,1619481980719.64,1725671652742.19
SSD,NY.GDP.MKTP.CD,South Sudan,GDP (current US$),,,,,,,,,,,,,,,,,,,14586253383.0632,12231264525.0671,14602072410.9506,14907308932.7534,11931472169.4915,18426469016.9492,13962212847.4576,11997800760.2242,,,,,,,,,
ZAF,NY.GDP.MKTP.CD,South Africa,GDP (current US$),126048140141.869,135203698237.977,146956150986.636,147194747565.75,153512712381.836,171735933897.331,163234925380.563,168978057327.73,152982984557.233,151516957078.536,151752757215.309,135429905922.526,129087556612.449,197018965308.697,255806908594.573,288867217196.534,303858675363.643,333077117253.684,316131258616.309,329754060647.129,417363822801.713,458199494830.834,434400545085.811,400886013595.573,381198869776.106,346709790458.563,323585509674.481,381448814653.456,405260723892.517,389330032224.269,337974655408.055,419986284375.368,407596043067.885,381440724491.232,401144998373.585
SOM,NY.GDP.MKTP.CD,"Somalia, Fed. Rep.",GDP (current US$),1031282081.16683,717974929.763158,709297578.5,1260132955.78746,1481205097.98113,1534756134.55022,1792234297.39194,2191749013.58124,2962047564.41651,3045751527.66005,3412797450.20112,2252847464.68608,2192684134.59273,2836724351.5616,3859592813.10255,4683246454.10048,5026743282.04251,5430713728.89074,5913620292.90573,2948594552.44952,2687807003.73935,2906000096.93249,4364670159.99578,5062881600.00104,5728399719.99958,6152149099.99942,6613743069.99912,7621501710.0012,7873000000.0,8656000000.0,8628000000.0,9483000000.0,10203000000.0,10958000000.0,11967000000.0
SLB,NY.GDP.MKTP.CD,Solomon Islands,GDP (current US$),214877666.846068,227540473.340087,269034595.812985,300746361.128739,402837005.272596,469443201.503274,510586430.190127,526554005.954357,457579840.225066,488024514.369359,419842674.227652,409508552.979972,346406738.885237,417666638.600021,468000121.313434,552881356.697517,617257457.758489,695291217.982227,776335523.470373,805557289.459198,898128551.289162,1063898226.71892,1185217634.37393,1285905957.64116,1335576762.84974,1307908813.59962,1379486290.71433,1469790526.3972,1615473250.25259,1619150563.92084,1536143427.82958,1558312103.84225,1466670929.62333,1506124566.40404,1583964703.75061
SVN,NY.GDP.MKTP.CD,Slovenia,GDP (current US$),19832029087.1272,14454495058.907,14277261540.7456,14449298371.7879,16400767069.6294,21367422159.3207,21470699362.6062,20726878751.5006,22058635314.4836,22609669083.7179,20159190701.6789,20668868706.8115,23214593516.2095,29360575031.8177,34156553313.4031,35947936823.7781,39260368837.0342,47880266542.577,55509332322.3578,49975540954.8465,47793117240.9001,51199194599.3094,46167053954.3367,47867056858.8892,49514466379.6057,42709468274.8137,44290685824.0682,48153200134.6613,53689067639.9176,53909922735.545,53384760135.1581,61540813361.8556,59899117741.0022,69255264238.3855,72972015197.3859
SVK,NY.GDP.MKTP.CD,Slovak Republic,GDP (current US$),12915046978.1615,14459924588.948,15699327209.2121,16737973764.3476,20428139755.6056,26180022222.2222,28197790874.5247,27844628979.2682,29976207629.4888,30496272225.1337,29215726004.7765,30726659550.9717,35243658398.7546,46616149116.7411,57215475076.2986,62547753148.4638,70751813442.9881,86587749517.9724,100830060552.902,89342984697.5246,91112160800.7668,99705104723.4341,94724394278.052,99134277850.3418,101713075598.862,89178548717.3324,90347173228.6356,95978130734.9766,106611673364.837,105843498304.094,107732602896.441,120511265913.343,115792972358.209,133578518423.544,140934076532.375
SXM,NY.GDP.MKTP.CD,Sint Maarten (Dutch part),GDP (current US$),,,,,,,,,,,,,,,,,,,,854972067.039106,892290502.793296,936089385.47486,985865921.787709,1022905027.93296,1361811508.37989,1417888715.0838,1427017206.70391,1353212122.90503,1259200446.92737,1407880446.92737,1236428100.55866,1353071061.45251,1592564639.32961,1686525953.05006,1797836665.95136
SGP,NY.GDP.MKTP.CD,Singapore,GDP (current US$),36144336768.7023,45466164978.2923,52131320032.8797,60603815716.2653,73688724431.1412,87812540788.4293,96293086513.0872,100123787215.299,85728207781.7785,86286849754.8905,96076539925.7409,89793790669.6515,92538372869.6942,97646401095.6369,115033593101.049,127807848728.398,148627286361.351,180941701357.97,193617323539.203,194150283771.566,239807980591.24,279356499090.458,295092888076.589,307576360584.992,314863580758.455,307998545269.398,319646468521.497,343673334902.33,377123710560.614,376161998830.048,349165858544.568,436591382250.464,509017841146.557,505439514078.019,547386645891.847
SLE,NY.GDP.MKTP.CD,Sierra Leone,GDP (current US$),649644097.566129,779981987.10656,679940813.948366,768867882.965994,911853802.365613,870740291.519248,941709422.502965,850232760.017239,672368187.114756,669386623.951402,635866403.776065,1681473893.76655,1933863910.73227,2142618045.93129,2237350687.46606,2545275312.60512,3263697466.73514,3632957611.35152,4157895298.19572,3953403098.37107,4262805966.78755,4861632884.67985,6141666509.36295,7502762862.72657,7686138790.90872,6788352974.78329,6084297211.10217,5749846528.48046,6390514688.52816,6523577594.29408,6688307703.1447,7166931485.49433,7121125277.52542,6415852766.73832,6971127235.3123
